vehicle_id,brand,model,vehicle_type,fuel_type,ex_showroom_price,on_road_price,mileage_kmpl_or_range_km,engine_cc,power_bhp,transmission,number_of_variants,number_of_colors,city,rating,review_count,model_year
51,KTM,390 Adventure,Bike,Petrol,88624,102928,43.7,350,33.1,Manual,3,1,Lucknow,4.8,2065,2023
52,Bajaj,Platina 110,Scooter,Petrol,176317,209193,49.4,250,27.2,Manual,5,3,Kolkata,4.4,928,2024
53,Honda,SP 125,Scooter,Petrol,170186,190927,55.9,350,35.0,Automatic,3,2,Jaipur,4.8,2082,2026
54,KTM,250 Duke,Bike,Petrol,190036,222422,59.2,150,27.4,Automatic,3,4,Bengaluru,3.9,1551,2026
55,KTM,200 Duke,Bike,Petrol,140703,158779,59.9,200,30.0,Manual,4,4,Ahmedabad,4.8,768,2025
56,Bajaj,Platina 110,Scooter,Petrol,336255,406898,44.5,110,28.9,Manual,4,1,Ahmedabad,4.5,1474,2024
57,Ola,S1 Pro,Electric Scooter,Electric,182579,210158,112.6,1,8.2,Manual,3,4,Delhi,4.3,329,2024
58,Royal Enfield,Bullet 350,Bike,Petrol,326987,372894,52.8,125,9.0,Manual,5,2,Mumbai,3.8,1629,2023
59,Royal Enfield,Hunter 350,Bike,Petrol,312754,357123,58.9,200,22.6,Automatic,4,4,Mumbai,3.4,385,2025
60,Ather,450X,Electric Scooter,Electric,209450,251554,191.9,1,22.2,Manual,3,5,Bengaluru,3.5,2062,2025
61,KTM,390 Duke,Bike,Petrol,79060,91132,63.5,110,38.0,Manual,5,5,Pune,4.2,584,2025
62,Hero,Splendor Plus,Bike,Petrol,230088,278125,55.7,110,27.7,Automatic,5,3,Kolkata,4.5,1481,2026
63,Hero,Xtreme 160R,Scooter,Petrol,196994,233406,71.5,200,35.6,Automatic,3,4,Pune,4.5,526,2025
64,KTM,125 Duke,Scooter,Petrol,219782,255007,55.2,300,30.0,Manual,3,4,Mumbai,3.2,1965,2026
65,KTM,250 Duke,Bike,Petrol,136315,153665,47.3,400,20.0,Manual,4,3,Lucknow,4.3,994,2023
66,Ola,Roadster X,Electric Scooter,Electric,122219,144813,191.1,0,14.2,Manual,5,2,Jaipur,4.0,1440,2023
67,Royal Enfield,Himalayan 450,Scooter,Petrol,197717,238128,47.5,250,42.0,Manual,5,5,Jaipur,4.5,211,2026
68,Ather,Rizta S,Electric Scooter,Electric,125738,152238,133.8,0,13.6,Manual,5,2,Delhi,4.3,964,2026
69,Bajaj,Pulsar 125,Bike,Petrol,347100,393372,76.6,100,36.7,Manual,4,5,Delhi,3.5,1117,2023
70,Hero,Xtreme 160R,Scooter,Petrol,220989,258877,43.4,300,26.1,Manual,5,3,Ahmedabad,4.8,2089,2024
71,Hero,Mavrick 440,Bike,Petrol,155397,185398,73.5,125,9.5,Manual,4,4,Delhi,3.9,1711,2025
72,TVS,Sport,Scooter,Petrol,339486,399670,77.8,400,17.3,Manual,5,4,Mumbai,4.8,842,2023
73,Suzuki,Gixxer,Scooter,Petrol,357822,427952,66.9,300,11.0,Manual,3,4,Ahmedabad,3.4,2153,2026
74,Ola,S1 Air,Scooter,Electric,212157,235586,112.5,0,8.2,Automatic,3,5,Bengaluru,3.4,924,2026
75,Honda,SP 125,Bike,Petrol,325910,373350,65.0,450,16.9,Automatic,3,5,Pune,4.6,914,2024
76,Royal Enfield,Meteor 350,Bike,Petrol,447451,522575,79.0,300,11.3,Automatic,5,1,Mumbai,3.2,530,2026
77,Honda,CB200X,Bike,Petrol,387918,472534,48.7,200,38.7,Manual,3,2,Kolkata,4.4,2185,2023
78,KTM,390 Duke,Bike,Petrol,96653,115942,42.7,160,31.8,Manual,4,5,Jaipur,3.7,740,2026
79,Honda,Hornet 2.0,Bike,Petrol,112924,129408,47.0,100,22.9,Manual,4,4,Pune,4.5,702,2026
80,Bajaj,Pulsar NS160,Bike,Petrol,122492,145310,73.5,450,20.5,Manual,5,2,Kolkata,4.4,767,2024
81,Royal Enfield,Hunter 350,Scooter,Petrol,302091,334164,61.6,125,29.6,Manual,3,3,Mumbai,4.3,1534,2023
82,Ather,450S,Electric Scooter,Electric,216132,239715,165.7,1,9.6,Manual,5,2,Bengaluru,3.8,1050,2024
83,Ather,450S,Electric Scooter,Electric,217413,260197,195.4,0,12.3,Automatic,4,1,Mumbai,4.1,498,2023
84,KTM,200 Duke,Scooter,Petrol,397486,480902,80.0,400,28.6,Manual,3,1,Bengaluru,4.9,1531,2025
85,Suzuki,Avenis 125,Scooter,Petrol,363206,422297,74.5,250,24.3,Automatic,4,3,Mumbai,4.8,1204,2026
86,KTM,390 Duke,Bike,Petrol,159071,186925,61.6,200,19.1,Automatic,4,4,Mumbai,3.2,555,2024
87,Suzuki,Avenis 125,Bike,Petrol,291577,321067,77.6,125,9.7,Manual,3,5,Chennai,4.1,281,2026
88,Ather,450X,Electric Scooter,Electric,109574,120575,136.3,0,12.3,Manual,4,2,Hyderabad,4.5,302,2023
89,Hero,Mavrick 440,Scooter,Petrol,308662,344137,57.1,100,21.9,Automatic,3,5,Chennai,3.4,719,2025
90,Ola,S1 Air,Scooter,Electric,109262,131173,199.0,0,9.0,Manual,5,5,Lucknow,3.3,834,2024
91,Ather,450S,Scooter,Electric,203533,245472,178.1,1,14.7,Automatic,4,1,Lucknow,4.1,859,2024
92,Hero,Xtreme 125R,Scooter,Petrol,72906,80502,49.0,300,35.4,Automatic,3,2,Jaipur,3.9,997,2023
93,Ather,450 Apex,Scooter,Electric,179377,213140,179.0,1,14.3,Manual,5,3,Chennai,3.3,923,2024
94,Royal Enfield,Meteor 350,Scooter,Petrol,199092,240095,75.8,100,9.3,Manual,5,2,Bengaluru,3.8,1899,2026
95,Hero,Xtreme 125R,Scooter,Petrol,84623,100279,49.8,450,40.0,Automatic,3,5,Lucknow,3.4,2479,2026
96,Suzuki,Avenis 125,Bike,Petrol,114708,126250,74.9,125,40.4,Automatic,3,2,Hyderabad,4.2,598,2023
97,Suzuki,Burgman Street,Scooter,Petrol,140418,160807,79.2,100,11.4,Manual,3,3,Pune,3.7,595,2023
98,Honda,Hornet 2.0,Scooter,Petrol,296758,350930,77.3,200,42.6,Manual,5,1,Pune,4.5,895,2023
99,Yamaha,MT-15,Scooter,Petrol,441826,517523,74.1,150,31.6,Manual,3,3,Delhi,4.1,2136,2026
100,Bajaj,Pulsar NS200,Scooter,Petrol,292286,336463,57.8,110,44.9,Manual,5,5,Hyderabad,4.7,1720,2024
101,TVS,Raider 125,Bike,Petrol,117930,143077,78.0,300,23.4,Manual,5,4,Pune,4.6,1420,2025
102,Hero,HF Deluxe,Scooter,Petrol,311693,367237,49.2,125,8.2,Manual,5,4,Ahmedabad,3.5,994,2023
103,Royal Enfield,Bullet 350,Scooter,Petrol,412697,468535,70.4,125,37.3,Automatic,4,3,Hyderabad,4.6,2263,2025
104,Hero,Xtreme 160R,Scooter,Petrol,99531,117266,62.3,350,13.1,Manual,4,3,Delhi,3.2,283,2024
105,Honda,Unicorn,Bike,Petrol,129288,149672,78.1,350,8.5,Manual,3,4,Jaipur,4.2,601,2024
106,Yamaha,FZ-X,Scooter,Petrol,362632,421424,62.4,110,19.4,Manual,3,1,Hyderabad,3.8,2251,2024
107,Suzuki,Burgman Street,Scooter,Petrol,403041,475768,72.0,110,8.6,Automatic,3,3,Pune,4.3,2280,2026
108,Ather,450X,Scooter,Electric,219461,243517,176.2,0,13.1,Automatic,4,2,Pune,4.0,524,2025
109,Ather,Rizta,Electric Scooter,Electric,196562,219981,169.7,1,7.5,Automatic,4,3,Kolkata,4.0,694,2026
110,Suzuki,Avenis 125,Bike,Petrol,419591,494442,59.9,110,7.8,Manual,3,3,Bengaluru,3.3,764,2025
111,Yamaha,FZ-FI,Bike,Petrol,439484,501676,69.1,300,23.2,Manual,4,1,Bengaluru,4.2,2477,2024
112,Royal Enfield,Classic 350,Scooter,Petrol,108585,123051,63.9,150,23.0,Automatic,4,5,Bengaluru,4.3,2078,2025
113,Hero,Xtreme 125R,Scooter,Petrol,84975,97274,56.2,250,31.0,Manual,3,5,Pune,4.1,2375,2024
114,Ola,S1 X,Electric Scooter,Electric,130893,148037,161.7,0,14.7,Automatic,5,1,Ahmedabad,4.3,310,2025
115,KTM,250 Duke,Scooter,Petrol,409333,457426,53.2,400,32.4,Manual,5,4,Delhi,3.7,2013,2026
116,Ather,450 Apex,Electric Scooter,Electric,100563,116006,142.2,0,12.1,Automatic,4,4,Hyderabad,3.7,978,2025
117,Royal Enfield,Meteor 350,Scooter,Petrol,223492,270887,65.6,125,24.2,Manual,3,3,Lucknow,3.9,2299,2026
118,Honda,Shine,Scooter,Petrol,388356,449973,74.7,300,26.6,Automatic,5,5,Hyderabad,4.5,901,2025
119,Ola,S1 Pro,Electric Scooter,Electric,190823,225766,115.8,0,6.8,Automatic,4,3,Lucknow,3.2,312,2026
120,Hero,Xtreme 160R,Bike,Petrol,238895,268967,71.8,150,32.7,Automatic,3,5,Jaipur,3.4,1019,2026
121,Yamaha,FZ-FI,Bike,Petrol,269456,305736,79.7,350,10.4,Manual,4,5,Pune,3.8,1647,2025
122,Yamaha,MT-15,Scooter,Petrol,423796,485281,71.9,125,40.0,Manual,5,1,Chennai,3.8,720,2025
123,Royal Enfield,Bullet 350,Scooter,Petrol,227396,262263,57.9,100,27.7,Manual,5,3,Ahmedabad,4.4,971,2024
124,Ather,450 Apex,Electric Scooter,Electric,91471,109550,147.1,1,14.1,Manual,3,2,Chennai,3.6,1773,2025
125,Suzuki,Burgman Street,Scooter,Petrol,405858,446812,60.8,160,14.4,Automatic,5,1,Hyderabad,4.9,333,2023
126,Yamaha,R15 V4,Scooter,Petrol,373557,424688,59.4,160,17.8,Automatic,5,2,Hyderabad,4.5,11,2023
127,TVS,Radeon,Bike,Petrol,151365,169854,47.2,400,37.4,Manual,3,2,Lucknow,4.9,1117,2026
128,Yamaha,FZ-FI,Scooter,Petrol,398175,468476,61.1,450,7.1,Manual,3,2,Jaipur,4.4,993,2024
129,Ather,Rizta S,Scooter,Electric,204503,231697,151.2,0,12.8,Automatic,5,2,Jaipur,3.4,1472,2024
130,Royal Enfield,Hunter 350,Bike,Petrol,82633,91131,58.9,160,10.6,Automatic,5,3,Lucknow,3.7,1110,2023
131,Ather,450S,Bike,Electric,89358,103074,166.5,0,9.4,Automatic,5,4,Bengaluru,4.3,1135,2024
132,Suzuki,Avenis 125,Scooter,Petrol,77323,88778,43.4,100,29.6,Manual,4,1,Kolkata,3.3,965,2023
133,Royal Enfield,Classic 350,Bike,Petrol,372257,426390,53.3,200,9.0,Manual,5,2,Kolkata,4.0,671,2026
134,KTM,390 Duke,Bike,Petrol,107828,123909,65.4,350,13.5,Manual,5,4,Delhi,3.7,1689,2024
135,Suzuki,V-Strom SX,Bike,Petrol,375375,437235,40.8,150,42.2,Automatic,3,4,Pune,3.7,465,2025
136,Hero,Mavrick 440,Scooter,Petrol,75699,84338,71.3,110,9.4,Manual,3,2,Jaipur,3.4,2020,2023
137,Ather,450S,Electric Scooter,Electric,123067,142989,120.8,1,11.0,Automatic,5,4,Chennai,3.9,21,2025
138,Hero,HF Deluxe,Scooter,Petrol,352313,418044,65.1,300,27.2,Manual,5,4,Jaipur,3.8,139,2025
139,Honda,Hornet 2.0,Scooter,Petrol,401664,465307,59.2,100,42.1,Automatic,4,5,Hyderabad,4.1,1970,2024
140,Ather,Rizta S,Electric Scooter,Electric,186268,206682,92.8,0,7.3,Automatic,3,4,Mumbai,3.7,399,2026
141,Honda,Hornet 2.0,Bike,Petrol,268218,309839,55.5,160,36.7,Manual,5,2,Ahmedabad,3.7,992,2025
142,Ather,450 Apex,Electric Scooter,Electric,113141,132846,101.1,1,11.9,Automatic,3,5,Kolkata,3.6,829,2026
143,Yamaha,MT-15,Bike,Petrol,97371,111947,56.2,125,21.0,Automatic,3,5,Pune,4.9,1216,2024
144,Royal Enfield,Himalayan 450,Scooter,Petrol,351166,399915,45.5,250,30.5,Automatic,3,5,Chennai,4.6,182,2026
145,TVS,Sport,Bike,Petrol,200870,224023,60.0,250,12.7,Automatic,4,3,Jaipur,4.3,1958,2024
146,KTM,390 Adventure,Scooter,Petrol,444504,539245,78.2,100,32.0,Automatic,3,1,Lucknow,4.9,2289,2023
147,Suzuki,Burgman Street,Scooter,Petrol,284861,331068,65.5,100,9.5,Manual,3,5,Ahmedabad,3.3,96,2025
148,Hero,Mavrick 440,Bike,Petrol,154570,177216,40.5,160,26.3,Manual,5,4,Bengaluru,4.4,572,2025
149,KTM,390 Adventure,Bike,Petrol,169797,187203,73.2,300,17.1,Manual,3,1,Jaipur,3.9,972,2023
150,TVS,Apache RTR 160,Scooter,Petrol,238672,288196,65.8,400,25.2,Manual,5,2,Pune,4.1,2217,2025
151,Honda,Unicorn,Scooter,Petrol,110838,126872,44.4,110,15.5,Manual,4,1,Mumbai,4.9,2471,2026
152,Royal Enfield,Meteor 350,Scooter,Petrol,392090,462891,75.5,300,44.7,Manual,5,1,Jaipur,4.2,2206,2023
153,Royal Enfield,Meteor 350,Scooter,Petrol,325298,394419,52.8,200,44.4,Manual,4,2,Chennai,4.5,292,2024
154,Bajaj,Dominar 400,Bike,Petrol,435965,495128,61.7,100,26.3,Automatic,3,4,Jaipur,4.6,1144,2026
155,KTM,200 Duke,Scooter,Petrol,120147,134958,69.1,100,17.6,Automatic,4,3,Jaipur,4.2,2359,2025
156,Honda,Shine,Scooter,Petrol,182235,201231,61.0,400,35.9,Automatic,4,1,Mumbai,4.6,1788,2025
157,Suzuki,Gixxer,Bike,Petrol,409761,494313,54.7,150,34.4,Automatic,3,5,Pune,4.5,2462,2024
158,Yamaha,FZ-X,Scooter,Petrol,98848,114438,55.5,100,29.4,Automatic,3,2,Kolkata,4.5,171,2024
159,Honda,Unicorn,Bike,Petrol,436602,497774,59.9,125,9.2,Automatic,4,5,Hyderabad,4.1,441,2023
160,TVS,Sport,Bike,Petrol,141256,168965,43.5,150,9.4,Automatic,3,4,Pune,4.4,2458,2024
161,TVS,Apache RTR 160,Scooter,Petrol,193046,229660,44.7,200,44.7,Automatic,4,5,Jaipur,4.2,147,2024
162,Bajaj,Platina 110,Bike,Petrol,158808,184562,63.4,200,17.4,Manual,3,3,Lucknow,4.7,931,2025
163,Royal Enfield,Himalayan 450,Scooter,Petrol,349580,404798,59.2,160,24.4,Manual,4,2,Bengaluru,4.0,1871,2023
164,Yamaha,FZ-X,Scooter,Petrol,203808,224517,70.1,300,24.9,Manual,4,4,Kolkata,3.6,279,2026
165,KTM,200 Duke,Bike,Petrol,376877,417398,42.6,150,8.3,Automatic,3,5,Hyderabad,3.8,2020,2025
166,Yamaha,MT-15,Scooter,Petrol,131707,157962,45.1,250,22.0,Automatic,4,1,Chennai,5.0,1115,2023
167,Bajaj,Pulsar NS160,Bike,Petrol,162239,190310,53.5,125,43.9,Manual,3,1,Mumbai,4.5,904,2024
168,Ather,450S,Electric Scooter,Electric,182852,202622,115.0,1,12.2,Automatic,3,2,Pune,3.6,862,2023
169,Honda,Shine,Scooter,Petrol,186673,217558,58.5,125,31.7,Manual,4,4,Lucknow,5.0,2300,2025
170,Hero,Mavrick 440,Scooter,Petrol,270977,304737,53.2,150,26.7,Automatic,4,4,Jaipur,4.2,890,2025
171,Honda,Shine,Scooter,Petrol,340709,407420,53.7,100,21.8,Manual,5,1,Mumbai,3.4,316,2025
172,Ola,Roadster X,Electric Scooter,Electric,207775,244375,129.2,0,10.8,Automatic,5,2,Lucknow,4.0,2443,2025
173,Bajaj,Platina 110,Bike,Petrol,275545,309779,46.8,200,12.3,Manual,3,4,Chennai,4.0,2423,2024
174,Bajaj,Pulsar 125,Scooter,Petrol,407829,496774,52.8,100,22.9,Automatic,3,2,Hyderabad,5.0,1539,2025
175,Suzuki,Gixxer,Bike,Petrol,336896,406577,43.7,150,34.3,Manual,3,3,Jaipur,4.7,1467,2024
176,Bajaj,Dominar 400,Scooter,Petrol,187232,217059,58.8,350,20.6,Automatic,4,2,Chennai,3.4,1251,2024
177,Hero,Mavrick 440,Bike,Petrol,83099,98876,76.2,125,24.1,Automatic,4,1,Chennai,4.7,940,2023
178,TVS,Apache RTR 200 4V,Scooter,Petrol,152969,180779,53.0,300,7.1,Manual,3,3,Hyderabad,4.8,1848,2024
179,Royal Enfield,Bullet 350,Bike,Petrol,437013,520888,70.4,150,40.1,Automatic,3,2,Bengaluru,4.8,2276,2025
180,Honda,Hornet 2.0,Bike,Petrol,139567,155378,45.2,125,44.1,Manual,3,2,Pune,3.7,1977,2023
181,Bajaj,Pulsar NS200,Bike,Petrol,304017,357087,68.0,150,44.3,Automatic,5,1,Bengaluru,4.8,407,2026
182,Yamaha,Fascino 125,Bike,Petrol,108472,123241,49.7,100,24.8,Automatic,5,1,Jaipur,3.3,77,2026
183,Ola,S1 Pro,Electric Scooter,Electric,174709,193835,127.4,1,6.9,Manual,3,4,Bengaluru,3.7,503,2024
184,Royal Enfield,Himalayan 450,Bike,Petrol,385787,448681,48.8,100,35.0,Manual,5,1,Mumbai,4.8,1041,2023
185,Suzuki,V-Strom SX,Scooter,Petrol,175155,196135,58.6,350,20.0,Manual,3,3,Pune,4.3,188,2026
186,Suzuki,V-Strom SX,Scooter,Petrol,295147,358327,55.4,125,31.8,Automatic,5,1,Delhi,3.7,2271,2023
187,Honda,Shine,Bike,Petrol,413939,469083,64.2,450,12.3,Automatic,3,5,Delhi,4.3,151,2025
188,TVS,Sport,Bike,Petrol,151716,167556,40.2,100,15.3,Manual,4,5,Chennai,4.2,327,2024
189,Yamaha,FZ-FI,Bike,Petrol,201535,234545,43.5,350,38.1,Automatic,5,1,Kolkata,4.1,1527,2025
190,Hero,Xtreme 160R,Bike,Petrol,109363,129153,75.3,160,16.8,Manual,4,4,Lucknow,4.5,868,2024
191,Suzuki,Avenis 125,Bike,Petrol,393406,438151,41.6,150,33.1,Manual,5,4,Mumbai,3.4,1784,2026
192,Ola,Roadster X,Scooter,Electric,146350,167341,135.4,0,11.8,Automatic,4,2,Bengaluru,4.8,1573,2025
193,TVS,Raider 125,Bike,Petrol,427076,505396,42.7,300,38.2,Manual,5,1,Kolkata,4.2,1390,2023
194,Hero,Splendor Plus,Bike,Petrol,377727,434987,66.1,160,33.3,Automatic,5,1,Chennai,4.8,1063,2026
195,Honda,Unicorn,Bike,Petrol,144003,163913,63.2,350,23.4,Automatic,4,3,Jaipur,3.2,1413,2023
196,Ola,S1 Pro,Electric Scooter,Electric,153803,172034,94.9,0,8.5,Manual,4,4,Bengaluru,3.8,1512,2025
197,Hero,Splendor Plus,Scooter,Petrol,349996,408502,61.2,150,29.0,Manual,3,5,Mumbai,4.1,1409,2026
198,Bajaj,Pulsar NS200,Bike,Petrol,285931,328734,44.0,200,42.2,Manual,4,3,Chennai,3.7,2179,2023
199,Royal Enfield,Classic 350,Scooter,Petrol,73036,87585,59.0,200,29.9,Automatic,3,3,Hyderabad,3.3,1311,2026
200,Royal Enfield,Himalayan 450,Bike,Petrol,67352,80865,61.3,200,16.4,Manual,4,5,Bengaluru,3.5,350,2024
201,Royal Enfield,Meteor 350,Bike,Petrol,184619,206416,53.9,300,45.0,Automatic,5,5,Delhi,4.5,2161,2024
202,Ather,450X,Electric Scooter,Electric,217379,245058,183.8,0,10.4,Automatic,3,2,Pune,4.2,2303,2023
203,Yamaha,R15 V4,Bike,Petrol,344003,414610,42.3,300,17.5,Automatic,3,3,Bengaluru,4.1,1781,2026
204,Yamaha,MT-15,Scooter,Petrol,137805,161603,60.9,300,23.8,Automatic,5,2,Delhi,4.8,91,2026
205,Bajaj,Dominar 400,Bike,Petrol,249482,274525,48.0,350,9.3,Automatic,3,3,Pune,4.1,1046,2025
206,Suzuki,Burgman Street,Scooter,Petrol,314877,366286,67.5,450,40.1,Automatic,3,4,Mumbai,3.8,705,2024
207,Ather,450 Apex,Scooter,Electric,169761,187637,181.1,0,5.0,Manual,3,1,Chennai,3.2,657,2023
208,Ather,450S,Scooter,Electric,162064,186188,169.5,1,9.1,Manual,5,3,Mumbai,3.2,2140,2025
209,Yamaha,MT-15,Scooter,Petrol,136312,157766,60.0,400,16.2,Manual,4,5,Ahmedabad,3.7,1323,2025
210,Bajaj,Pulsar NS200,Scooter,Petrol,428228,503963,63.3,250,15.6,Automatic,3,3,Chennai,3.9,1314,2024
211,Hero,HF Deluxe,Scooter,Petrol,154571,179790,65.0,150,31.2,Manual,4,4,Chennai,4.6,1055,2024
212,TVS,Apache RTR 200 4V,Bike,Petrol,398270,480250,68.8,250,13.0,Automatic,5,3,Jaipur,4.5,1474,2025
213,Hero,HF Deluxe,Bike,Petrol,378105,442380,51.0,200,41.0,Manual,4,5,Jaipur,3.3,677,2025
214,Ather,450S,Electric Scooter,Electric,198550,227395,193.7,0,14.1,Automatic,3,1,Lucknow,3.3,1958,2023
215,Ather,450X,Electric Scooter,Electric,170716,193492,168.4,0,6.8,Manual,5,1,Jaipur,3.4,1756,2026
216,Royal Enfield,Classic 350,Bike,Petrol,344652,397014,59.9,250,26.0,Manual,4,3,Jaipur,3.3,1046,2024
217,Royal Enfield,Himalayan 450,Scooter,Petrol,91654,106014,68.8,350,32.0,Automatic,3,4,Kolkata,4.3,171,2023
